iter	Passed	Remaining
354	7571	2793
355	7586	2770
356	7603	2747
357	7622	2725
358	7650	2706
359	7667	2683
360	7687	2661
361	7709	2640
362	7725	2617
363	7743	2595
364	7759	2572
365	7775	2549
366	7792	2526
367	7809	2504
368	7826	2481
369	7842	2458
370	7859	2436
371	7881	2415
372	7898	2392
373	7922	2372
374	7947	2352
375	7970	2331
376	8000	2313
377	8039	2296
378	8068	2277
379	8101	2259
380	8132	2241
381	8160	2221
382	8185	2201
383	8214	2181
384	8237	2161
385	8265	2141
386	8289	2120
387	8315	2100
388	8339	2079
389	8364	2058
390	8389	2038
391	8408	2016
392	8424	1993
393	8442	1971
394	8460	1949
395	8479	1927
396	8497	1904
397	8516	1883
398	8533	1860
399	8552	1838
400	8573	1817
401	8588	1794
402	8605	1772
403	8623	1750
404	8644	1728
405	8662	1706
406	8681	1685
407	8701	1663
408	8717	1641
409	8738	1619
410	8757	1598
411	8776	1576
412	8797	1555
413	8815	1533
414	8831	1510
415	8848	1488
416	8865	1466
417	8882	1444
418	8898	1422
419	8915	1400
420	8931	1379
421	8948	1357
422	8969	1335
423	8995	1315
424	9011	1293
425	9028	1271
426	9048	1250
427	9069	1228
428	9088	1207
429	9113	1186
430	9131	1165
431	9148	1143
432	9166	1121
433	9183	1100
434	9201	1078
435	9217	1057
436	9245	1036
437	9269	1015
438	9291	994
439	9321	974
440	9344	953
441	9364	932
442	9381	910
443	9403	889
444	9427	868
445	9444	846
446	9461	825
447	9478	803
448	9496	782
449	9513	761
450	9537	740
451	9555	718
452	9574	697
453	9593	676
454	9612	654
455	9633	633
456	9651	612
457	9673	591
458	9693	570
459	9710	548
460	9726	527
461	9744	506
462	9761	484
463	9779	463
464	9806	442
465	9828	421
466	9857	401
467	9882	380
468	9899	358
469	9916	337
470	9935	316
471	9953	295
472	9970	274
473	9987	252
474	10004	231
475	10020	210
476	10037	189
477	10053	168
478	10070	147
479	10087	126
480	10104	105
481	10121	83
482	10139	62
483	10155	41
484	10173	20
485	10193	0
